key,n
e,445155370175
t,330535289102
a,286527429118
o,272276534337
i,269731642485
n,257770795264
s,232082812755
r,223767519675
h,180074687596
l,144998552911
d,136017528785
c,119155568598
u,97273082907
m,89506734085
f,85635440629
p,76112599849
g,66615316232
w,59712390260
y,59331661972
b,52905544693
v,37532682260
k,19261229433
x,8369138754
j,5657910830
q,4292916949
z,3205398166
