key,n
0,386852
1,795902
2,615160
3,407388
4,399485
5,400696
6,400111
7,379316
8,400168
9,445279
a,917225
b,473829
backquote,392175
backslash,460242
c,916879
comma,421511
d,750170
dot,448437
e,935900
equals,409089
f,684203
g,549164
h,513897
i,763926
j,516398
k,426187
l,665840
l_sbracket,400822
m,557700
minus,405108
n,750222
o,831948
p,545781
q,462245
quote,434756
r,930848
r_sbracket,494888
s,982939
semi,427631
slash,654171
t,890404
u,486397
v,632166
w,636260
x,516935
y,437438
z,521641
