n,key
471978,0
409916,1
319273,2
266923,3
260729,4
232880,5
238566,6
187217,7
187807,8
172295,9
1293299,a
301457,b
875225,c
709296,d
2366297,e
586107,f
339942,g
524434,h
1293891,i
58046,j
152711,k
988158,l
541133,m
1288440,n
1207937,o
596290,p
45553,q
1308314,r
1298680,s
1810122,t
770700,u
219883,v
187359,w
205621,x
234595,y
42142,z
